2021-01-10 16:49:34.6589 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 16:49:34.6729 || ERROR || @ index : 0||  
2021-01-10 16:49:34.6906 || ERROR || ^ index : 112||  
2021-01-10 16:49:34.6988 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 16:49:34.6988 || INFO || Length||  
2021-01-10 16:49:34.7127 || INFO || 14||  
2021-01-10 16:49:34.7127 || INFO || FAIL||  
2021-01-10 16:49:39.6077 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:42.8676 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:44.8583 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:45.6939 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:46.1417 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:46.7686 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:47.8979 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:48.5714 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:49.1158 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:49.6923 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:50:15.9604 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:11:09.2406 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:11:10.5175 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 17:11:24.0204 || INFO || Receving string||  
2021-01-10 17:11:24.0342 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 17:11:24.0494 || ERROR || @ index : 0||  
2021-01-10 17:11:24.0651 || ERROR || ^ index : 112||  
2021-01-10 17:11:24.0771 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 17:11:24.1074 || INFO || Length||  
2021-01-10 17:11:24.1074 || INFO || 14||  
2021-01-10 17:11:24.1263 || INFO || FAIL||  
2021-01-10 17:12:34.4093 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:12:36.1509 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 17:12:54.1906 || INFO || Receving string||  
2021-01-10 17:12:54.2055 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 17:12:54.2195 || ERROR || @ index : 0||  
2021-01-10 17:12:54.2297 || ERROR || ^ index : 115||  
2021-01-10 17:12:54.2297 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 17:12:54.2517 || INFO || Length||  
2021-01-10 17:12:54.2624 || INFO || 14||  
2021-01-10 17:12:54.2624 || INFO || ONGOING||  
2021-01-10 17:17:07.6380 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:17:09.8121 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:17:12.0024 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:17:15.1461 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:17:37.6985 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:17:41.3899 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:19:34.5551 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:20:59.9279 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:35.9239 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:36.1987 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:36.3610 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:36.5364 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:36.7129 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:36.9242 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:37.1206 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:37.2920 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:37.4802 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:37.6664 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:37.8706 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.0576 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.2420 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.4077 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.5743 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.7583 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:38.9341 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:39.1268 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:39.3181 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:39.4977 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:39.6644 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:39.8371 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:40.0128 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:40.1936 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 17:21:40.3732 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
